Price,Close,High,Low,Open,Volume,EMA12,EMA26,MACD_Line,Signal_Line,Histogram
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Datetime,,,,,,,,,,
2024-12-30 16:06:00+00:00,419.769989,420.1900024,419.5499878,420,74177,419.5456863,419.5883288,-0.042642419,-0.110144022,0.067501603
2024-12-30 16:07:00+00:00,420.0599976,420.4100037,419.6567078,419.7215881,127354,419.6248111,419.6232672,0.001543954,-0.087806427,0.089350381
2024-12-30 16:08:00+00:00,420.6188965,420.7799988,419.8200989,420.6188965,122161,419.7777474,419.6970175,0.080729842,-0.054099173,0.134829015
2024-12-30 16:09:00+00:00,421.2260132,421.3699036,420.230011,420.6099854,135225,420.0005575,419.8102764,0.190281032,-0.005223132,0.195504164
2024-12-30 16:10:00+00:00,420.7349854,421.3900146,420.6300964,421.230011,95365,420.1135464,419.8787734,0.234772979,0.04277609,0.191996889
2024-12-30 16:11:00+00:00,420.0249939,420.8399963,419.9000854,420.7330017,71474,420.0999229,419.8896046,0.210318372,0.076284547,0.134033826
2024-12-30 16:12:00+00:00,419.4501038,420.1799011,419.4299927,420.0249939,82665,419.9999507,419.8570489,0.142901807,0.089607999,0.053293809
2024-12-30 16:13:00+00:00,419.3500061,419.8099976,419,419.4899902,88526,419.8999593,419.8194902,0.080469053,0.08778021,-0.007311157
2024-12-30 16:14:00+00:00,419.3800049,419.6600037,419,419.2099915,55422,419.8199663,419.7869357,0.03303054,0.076830276,-0.043799736
2024-12-30 16:15:00+00:00,420.0700073,420.2998962,419.269989,419.3999939,79041,419.8584341,419.807904,0.050530127,0.071570246,-0.021040118
2024-12-30 16:16:00+00:00,420.2099915,420.5499878,419.8399963,420.1900024,72157,419.9125199,419.8376883,0.074831614,0.07222252,0.002609094
2024-12-30 16:17:00+00:00,419.920105,420.3099976,419.7022095,420.2000122,56991,419.9136868,419.8437932,0.069893611,0.071756738,-0.001863127
2024-12-30 16:18:00+00:00,421.7634888,422,419.8001099,420.0499878,175619,420.1982717,419.9859929,0.212278856,0.099861161,0.112417694
2024-12-30 16:19:00+00:00,421.7999878,422.2200012,421.5,421.8106995,113536,420.4446896,420.1203629,0.324326718,0.144754273,0.179572445
2024-12-30 16:20:00+00:00,422.1698914,422.2998962,421.6199951,421.7999878,83902,420.7101052,420.2721798,0.43792545,0.203388508,0.234536942
2024-12-30 16:21:00+00:00,421.6698914,422.2999878,421.2000122,422.230011,90610,420.8577646,420.375714,0.482050662,0.259120939,0.222929723
2024-12-30 16:22:00+00:00,421.1799927,421.6998901,421.1400146,421.4700012,63246,420.9073382,420.4352902,0.472048006,0.301706352,0.170341653
2024-12-30 16:23:00+00:00,421.0249939,421.6199951,420.6000061,421.1206055,87575,420.9254391,420.4789719,0.446467127,0.330658507,0.11580862
2024-12-30 16:24:00+00:00,420.8599854,421.309906,420.7999878,421.0950012,46286,420.9153693,420.5071952,0.408174109,0.346161628,0.062012482
2024-12-30 16:25:00+00:00,421.4859924,421.6000061,420.8200073,420.8299866,57595,421.0031574,420.5796987,0.423458787,0.361621059,0.061837727
2024-12-30 16:26:00+00:00,421.7099915,422.4500122,421.5195923,421.535614,100041,421.1119011,420.663424,0.448477088,0.378992265,0.069484823
2024-12-30 16:27:00+00:00,421.480011,421.6499939,421.0100098,421.6499939,75219,421.1685334,420.723912,0.444621452,0.392118102,0.052503349
2024-12-30 16:28:00+00:00,420.9364929,421.5183105,420.8900146,421.3616943,52903,421.1328349,420.7396587,0.393176176,0.392329717,0.000846459
2024-12-30 16:29:00+00:00,421.5299988,421.7799072,420.9480896,420.9480896,59017,421.193937,420.7982024,0.395734605,0.393010695,0.00272391
2024-12-30 16:30:00+00:00,421.0400085,421.6799927,420.9500122,421.5982056,67539,421.1702557,420.816114,0.354141735,0.385236903,-0.031095167
2024-12-30 16:31:00+00:00,421.0516968,421.6900024,420.9100952,421.144989,63772,421.1520159,420.8335646,0.318451321,0.371879786,-0.053428465
2024-12-30 16:32:00+00:00,421.2200012,421.3800049,420.9301147,421.0516968,44517,421.1624752,420.8621895,0.300285666,0.357560962,-0.057275296
2024-12-30 16:33:00+00:00,420.9971924,421.6000061,420.6000977,421.2999878,98897,421.137047,420.8721897,0.264857332,0.339020236,-0.074162904
2024-12-30 16:34:00+00:00,421.3501892,421.980011,420.6499939,420.8793945,102276,421.1698381,420.9075971,0.262241065,0.323664402,-0.061423337
2024-12-30 16:35:00+00:00,421.4100037,421.730011,421.2692871,421.5490112,54441,421.2067867,420.9448124,0.261974303,0.311326382,-0.049352079
2024-12-30 16:36:00+00:00,421.8099976,421.9500122,421.1600952,421.4700012,50120,421.2995884,421.0089002,0.290688185,0.307198743,-0.016510558
2024-12-30 16:37:00+00:00,421.7200928,422.3200073,421.7200928,421.9425964,131757,421.3642813,421.0615811,0.302700239,0.306299042,-0.003598803
2024-12-30 16:38:00+00:00,422.2799988,422.5100098,421.7200928,421.7999878,103636,421.505161,421.1518343,0.353326683,0.31570457,0.037622113
2024-12-30 16:39:00+00:00,422.1900024,422.3814087,422.0201111,422.2999878,70872,421.6105212,421.2287356,0.381785566,0.328920769,0.052864797
2024-12-30 16:40:00+00:00,422.5700073,422.9700012,422.0300903,422.2349854,123126,421.7581344,421.3280891,0.430045359,0.349145687,0.080899672
2024-12-30 16:41:00+00:00,422.7099915,423.1000061,422.1333008,422.6350098,105384,421.904574,421.4304522,0.474121761,0.374140902,0.099980859
2024-12-30 16:42:00+00:00,423.1199951,423.2000122,422.5899963,422.7099915,98239,422.0915618,421.5556035,0.535958303,0.406504382,0.129453921
2024-12-30 16:43:00+00:00,422.9466858,423.4100037,422.5499878,423.1600037,155545,422.2231194,421.6586467,0.564472704,0.438098047,0.126374657
2024-12-30 16:44:00+00:00,422.6842041,423.1799927,422.6600952,422.8999939,54251,422.2940555,421.7346139,0.559441599,0.462366757,0.097074842
2024-12-30 16:45:00+00:00,422,422.8598938,421.8999939,422.6766968,107842,422.2488162,421.7542721,0.494544063,0.468802218,0.025741844
2024-12-30 16:46:00+00:00,421.894989,422.3099976,421.5599976,422.0000916,92336,422.1943812,421.7646956,0.42968564,0.460978903,-0.031293262
2024-12-30 16:47:00+00:00,422.7999878,422.9200134,421.7279053,421.7600098,107624,422.2875515,421.8413839,0.446167569,0.458016636,-0.011849067
2024-12-30 16:48:00+00:00,422.2999878,422.9200134,421.9301147,422.7821045,66862,422.2894648,421.8753546,0.414110191,0.449235347,-0.035125156
2024-12-30 16:49:00+00:00,422.269989,422.7999878,422.0799866,422.3999023,71677,422.2864685,421.9045867,0.381881742,0.435764626,-0.053882884
2024-12-30 16:50:00+00:00,422.5441895,423.1900024,421.75,422.4580994,129085,422.3261179,421.9519647,0.374153143,0.423442329,-0.049289186
